record,colony,yyyymmdd,huddles,areasum,areamean,jday,ycoordmean,xcoordmean,colony_ycoord,colony_size,image,MBG_Width,MBG_Length,MBG_APodX1,MBG_APodY1,MBG_APodX2,MBG_APodY2,MBG_Orient,Area_m
1,Atka Bay,22/03/2024,1,0,0,82,NA,NA,-70.6142,medium,2024-03-22-20-13-47_UMBRA-06_GEC.tif,NA,NA,NA,NA,NA,NA,NA,NA
2,Atka Bay,12/04/2024,8,1560.178706,195.0223382,103,-70.61977631,-8.155336736,-70.6142,medium,2024-04-12-20-38-35_UMBRA-06_GEC.tif,413.2,2242.66,-302000,2110000,-301000,2100000,155.5,548475.37
3,Atka Bay,24/04/2024,21,2551.88945,121.5185453,115,-70.62214736,-8.159168671,-70.6142,medium,2024-04-24-00-04-46_UMBRA-04_GEC.tif,298.35,2448.24,-302000,2110000,-301000,2100000,166.7,404510.63
4,Atka Bay,29/04/2024,9,739.8310553,82.20345058,120,-70.61537017,-8.157441711,-70.6142,medium,2024-04-29-23-56-56_UMBRA-07_GEC.tif,65.52,2038.72,-302000,2110000,-302000,2100000,178.7,89831.91
5,Atka Bay,9/05/2024,17,3273.181245,192.5400732,130,-70.62025855,-8.156833989,-70.6142,medium,2024-05-09-00-18-11_UMBRA-05_GEC.tif,342.89,2703.52,-302000,2110000,-301000,2100000,171.5,555756.33
6,Atka Bay,24/05/2024,15,2078.711791,138.580786,145,-70.61564506,-8.156670015,-70.6142,medium,2024-05-24-09-59-25_UMBRA-07_GEC.tif,213.66,2639.85,-302000,2100000,-302000,2110000,1,343465.3
7,Atka Bay,7/06/2024,16,2250.108272,140.631767,159,-70.61450818,-8.154999432,-70.6142,medium,2024-06-07-09-24-36_UMBRA-04_GEC.tif,208.46,2548.15,-302000,2100000,-301000,2110000,2.6,334553.02
8,Atka Bay,19/06/2024,5,1350.693909,270.1387818,171,-70.61467728,-8.155857616,-70.6142,medium,2024-06-19-22-51-44_UMBRA-05_GEC.tif,53.88,2438.28,-302000,2100000,-302000,2110000,1.5,93837.39
9,Atka Bay,12/07/2024,5,1060.172351,212.0344702,194,-70.60847943,-8.15114804,-70.6142,medium,2024-07-12-22-45-13_UMBRA-05_GEC.tif,76.38,2309.63,-302000,2100000,-301000,2110000,3,141312.25
10,Atka Bay,7/08/2024,7,1137.301076,162.4715823,220,-70.60992838,-8.151732724,-70.6142,medium,2024-08-07-00-53-58_UMBRA-07_GEC.tif,203.33,2550.05,-302000,2100000,-301000,2110000,3.3,294886.1
11,Cape Crozier,23/03/2024,1,0,0,83,NA,NA,-77.4653,small,2024-03-23-02-39-08_UMBRA-06_GEC.tif,NA,NA,NA,NA,NA,NA,NA,NA
12,Cape Crozier,4/04/2024,1,0,0,95,NA,NA,-77.4653,small,2024-04-04-13-25-53_UMBRA-05_GEC.tif,NA,NA,NA,NA,NA,NA,NA,NA
13,Cape Crozier,6/04/2024,1,0,0,97,NA,NA,-77.4653,small,2024-04-06-22-22-05_UMBRA-07_GEC.tif,NA,NA,NA,NA,NA,NA,NA,NA
14,Cape Crozier,23/04/2024,3,601.7200721,200.5733574,114,-77.45274249,169.2750659,-77.4653,small,2024-04-23-15-16-44_UMBRA-07_GEC.tif,16.07,115.09,254618.89,-1340000,254699.86,-1340000,44.7,1258.43
15,Cape Crozier,2/05/2024,4,762.2053404,190.5513351,123,-77.45211863,169.2749058,-77.4653,small,2024-05-02-15-27-32_UMBRA-07_GEC.tif,60.13,195.06,254696.39,-1340000,254723.65,-1340000,8,7137.56
16,Cape Crozier,17/05/2024,2,550.1520551,275.0760276,138,-77.45208197,169.2775054,-77.4653,small,2024-05-17-22-24-29_UMBRA-07_GEC.tif,21.52,94.85,254601.17,-1340000,254660.1,-1340000,38.4,1442.2
17,Cape Crozier,1/06/2024,6,487.1682625,81.19471042,153,-77.45157182,169.2786676,-77.4653,small,2024-06-01-14-57-01_UMBRA-07_GEC.tif,28.24,331.26,254454.79,-1340000,254672.19,-1340000,41,6669.68
18,Cape Crozier,20/06/2024,5,492.6755284,98.53510567,172,-77.4509479,169.2814129,-77.4653,small,2024-06-20-12-46-04_UMBRA-07_GEC.tif,36.21,226.39,254485.63,-1340000,254598.86,-1340000,30,5238.9
19,Cape Crozier,24/06/2024,2,242.3694953,121.1847477,176,-77.4512319,169.2811639,-77.4653,small,2024-06-24-21-20-53_UMBRA-08_GEC.tif,17.49,35.08,254565.74,-1340000,254576.14,-1340000,162.8,506.91
20,Cape Crozier,16/07/2024,1,274.6757767,274.6757767,198,-77.45059827,169.283064,-77.4653,small,2024-07-16-19-42-39_UMBRA-07_GEC.tif,14.51,27.65,254525.78,-1340000,254543.53,-1340000,39.9,299.98
21,Cape Roget,30/03/2024,1,0,0,90,NA,NA,-71.9882,medium,2024-03-30-10-57-25_UMBRA-05_GEC.tif,NA,NA,NA,NA,NA,NA,NA,NA
22,Cape Roget,12/04/2024,1,0,0,103,NA,NA,-71.9882,medium,2024-04-12-13-42-46_UMBRA-07_GEC.tif,NA,NA,NA,NA,NA,NA,NA,NA
23,Cape Roget,2/05/2024,14,1929.412165,137.8151546,123,-71.98334599,170.5975045,-71.9882,medium,2024-05-02-20-09-23_UMBRA-08_GEC.tif,64.82,157.99,322271.85,-1950000,322414.5,-1950000,115.4,7508.22
24,Cape Roget,9/05/2024,14,1406.0468,100.4319143,130,-71.98468337,170.596799,-71.9882,medium,2024-05-09-20-35-25_UMBRA-08_GEC.tif,81.6,204.89,322270.58,-1950000,322458.28,-1950000,66.4,12724.88
25,Cape Roget,17/05/2024,11,1588.04102,144.3673655,138,-71.98452484,170.5993469,-71.9882,medium,2024-05-17-21-15-19_UMBRA-04_GEC.tif,157.91,228.04,322185.89,-1950000,322411.1,-1950000,99,23399.25
26,Cape Roget,24/05/2024,13,1732.589713,133.2761318,145,-71.98355193,170.5982339,-71.9882,medium,2024-05-24-21-22-03_UMBRA-05_GEC.tif,56.82,149.06,322259.35,-1950000,322408.17,-1950000,93.3,6596.38
27,Cape Roget,1/06/2024,22,1396.033592,63.45607237,153,-71.9845059,170.5983481,-71.9882,medium,2024-06-01-13-23-51_UMBRA-07_GEC.tif,113.67,247.28,322191.77,-1950000,322402.98,-1950000,121.3,19867.4
28,Cape Roget,7/06/2024,13,1438.872792,110.6825224,159,-71.98515328,170.5942929,-71.9882,medium,2024-06-07-10-57-16_UMBRA-05_GEC.tif,101.84,304.14,322257.35,-1950000,322553.01,-1950000,103.6,20179.38
29,Cape Roget,21/06/2024,9,955.1400241,106.1266693,173,-71.98457302,170.60043,-71.9882,medium,2024-06-21-12-19-39_UMBRA-04_GEC.tif,76.29,219.44,322123.4,-1950000,322316.49,-1950000,118.4,10790.77
30,Cape Roget,25/06/2024,9,842.1613747,93.57348608,177,-71.98467627,170.5959914,-71.9882,medium,2024-06-25-21-07-07_UMBRA-08_GEC.tif,77.43,207.62,322306.5,-1950000,322466.92,-1950000,129.4,10179.75
31,Cape Roget,10/07/2024,8,930.7568206,116.3446026,192,-71.98504339,170.6026991,-71.9882,medium,2024-07-10-13-13-50_UMBRA-07_GEC.tif,53.3,115.05,322082.35,-1950000,322190.91,-1950000,109.3,4764.29
32,Cape Roget,16/07/2024,2,721.7907571,360.8953786,198,-71.9868232,170.5984659,-71.9882,medium,2024-07-16-11-53-21_UMBRA-08_GEC.tif,31.3,64.46,322245.87,-1950000,322277.06,-1950000,151.1,1423.32
33,Cape Roget,9/08/2024,4,979.6392797,244.9098199,222,-71.98443901,170.5952464,-71.9882,medium,2024-08-09-20-58-58_UMBRA-07_GEC.tif,36.32,154.07,322330.91,-1950000,322483.35,-1950000,98.3,4107.59
34,Cape Washington,30/03/2024,1,0,0,90,NA,NA,-74.6373,large,2024-03-30-12-16-12_UMBRA-08_GEC.tif,NA,NA,NA,NA,NA,NA,NA,NA
35,Cape Washington,23/04/2024,25,844.4068963,33.77627585,114,-74.64639116,165.3868059,-74.6373,large,2024-04-23-13-06-28_UMBRA-04_GEC.tif,313.35,839.63,422924.55,-1620000,423763.75,-1620000,91.9,139536.33
