,colony,yyyymmdd,huddles,areasum,areamean,jday,ycoordmean,xcoordmean,colony_ycoord,colony_size,notes
1,Atka Bay,22/03/2024,1,0,0,82,NA,NA,-70.6142,medium,
2,Atka Bay,12/04/2024,8,1560.178706,195.0223382,103,-70.61977631,-8.155336736,-70.6142,medium,Loose aggregations
3,Atka Bay,24/04/2024,21,2551.88945,121.5185453,115,-70.62214736,-8.159168671,-70.6142,medium,Small groups
4,Atka Bay,29/04/2024,9,739.8310553,82.20345058,120,-70.61537017,-8.157441711,-70.6142,medium,Small groups
5,Atka Bay,9/05/2024,17,3273.181245,192.5400732,130,-70.62025855,-8.156833989,-70.6142,medium,Tight groups/First copulation attempts
6,Atka Bay,24/05/2024,15,2078.711791,138.580786,145,-70.61564506,-8.156670015,-70.6142,medium,Tight groups
7,Atka Bay,7/06/2024,16,2250.108272,140.631767,159,-70.61450818,-8.154999432,-70.6142,medium,Tight groups
8,Atka Bay,19/06/2024,5,1350.693909,270.1387818,171,-70.61467728,-8.155857616,-70.6142,medium,Females leaving
9,Atka Bay,12/07/2024,5,1060.172351,212.0344702,194,-70.60847943,-8.15114804,-70.6142,medium,Male incubation
10,Atka Bay,7/08/2024,7,1137.301076,162.4715823,220,-70.60992838,-8.151732724,-70.6142,medium,Females return
11,Cape Crozier,23/03/2024,1,0,0,83,NA,NA,-77.4653,small,
12,Cape Crozier,4/04/2024,1,0,0,95,NA,NA,-77.4653,small,
13,Cape Crozier,6/04/2024,1,0,0,97,NA,NA,-77.4653,small,
14,Cape Crozier,23/04/2024,3,601.7200721,200.5733574,114,-77.45274249,169.2750659,-77.4653,small,
15,Cape Crozier,2/05/2024,4,762.2053404,190.5513351,123,-77.45211863,169.2749058,-77.4653,small,Mix of group type
16,Cape Crozier,17/05/2024,2,550.1520551,275.0760276,138,-77.45208197,169.2775054,-77.4653,small,Tight groups
17,Cape Crozier,1/06/2024,6,487.1682625,81.19471042,153,-77.45157182,169.2786676,-77.4653,small,Mix of group type
18,Cape Crozier,20/06/2024,5,492.6755284,98.53510567,172,-77.4509479,169.2814129,-77.4653,small,
19,Cape Crozier,24/06/2024,2,242.3694953,121.1847477,176,-77.4512319,169.2811639,-77.4653,small,
20,Cape Crozier,16/07/2024,1,274.6757767,274.6757767,198,-77.45059827,169.283064,-77.4653,small,Male incubation
21,Cape Roget,30/03/2024,1,0,0,90,NA,NA,-71.9882,medium,
22,Cape Roget,12/04/2024,1,0,0,103,NA,NA,-71.9882,medium,
23,Cape Roget,2/05/2024,14,1929.412165,137.8151546,123,-71.98334599,170.5975045,-71.9882,medium,Loose aggregations
24,Cape Roget,9/05/2024,14,1406.0468,100.4319143,130,-71.98468337,170.596799,-71.9882,medium,Tight groups
25,Cape Roget,17/05/2024,11,1588.04102,144.3673655,138,-71.98452484,170.5993469,-71.9882,medium,Tight groups
26,Cape Roget,24/05/2024,13,1732.589713,133.2761318,145,-71.98355193,170.5982339,-71.9882,medium,Tight groups
27,Cape Roget,1/06/2024,22,1396.033592,63.45607237,153,-71.9845059,170.5983481,-71.9882,medium,Small groups
28,Cape Roget,7/06/2024,13,1438.872792,110.6825224,159,-71.98515328,170.5942929,-71.9882,medium,
29,Cape Roget,21/06/2024,9,955.1400241,106.1266693,173,-71.98457302,170.60043,-71.9882,medium,Females leaving
30,Cape Roget,25/06/2024,9,842.1613747,93.57348608,177,-71.98467627,170.5959914,-71.9882,medium,
31,Cape Roget,10/07/2024,8,930.7568206,116.3446026,192,-71.98504339,170.6026991,-71.9882,medium,Consolidated huddles
32,Cape Roget,16/07/2024,2,721.7907571,360.8953786,198,-71.9868232,170.5984659,-71.9882,medium,Male incubation
33,Cape Roget,9/08/2024,4,979.6392797,244.9098199,222,-71.98443901,170.5952464,-71.9882,medium,Females returned (probably)
34,Cape Washington,30/03/2024,1,0,0,90,NA,NA,-74.6373,large,
